Series ID,State ID,,,Series name,State name,"Jan
2020","Feb
2020","Mar
2020","Apr
2020","May
2020","Jun
2020","Jul
2020","Aug
2020","Sep
2020","Oct
2020","Nov
2020","Dec
2020","Jan
2021","Feb
2021","Mar
2021","Apr
2021","May
2021","Jun
2021","Jul
2021","Aug
2021","Sep
2021","Oct
2021","Nov
2021","Dec
2021"
JTS000000130000000QUL,13,13,JTSQUL,"Quits levels, seasonally adjusted",Georgia,142,126,82,84,89,85,122,150,128,124,130,139,134,135,131,190,133,184,157,192,,,,
JTU000000130000000QUL,13,13,JTUQUL,"Quits levels, not seasonally adjusted",Georgia,149,110,76,92,98,91,139,169,128,124,103,128,137,116,124,196,143,192,177,215,,,,
JTS000000130000000QUR,13,13,JTSQUR,"Quits rate, seasonally adjusted",Georgia,3,2.7,1.8,2.1,2.1,2,2.8,3.4,2.9,2.8,2.9,3.1,3,3,2.9,4.2,3,4.1,3.4,4.2,,,,
JTU000000130000000QUR,13,13,JTUQUR,"Quits rate, not seasonally adjusted",Georgia,3.2,2.4,1.6,2.3,2.3,2.1,3.2,3.9,2.9,2.8,2.3,2.8,3.1,2.6,2.8,4.4,3.2,4.2,3.9,4.7,,,,
JTS000000150000000QUL,15,15,JTSQUL,"Quits levels, seasonally adjusted",Hawaii,13,15,13,12,13,11,16,12,24,11,11,8,12,12,13,22,24,16,19,19,,,,
JTU000000150000000QUL,15,15,JTUQUL,"Quits levels, not seasonally adjusted",Hawaii,15,12,11,13,13,13,19,17,25,10,7,6,12,10,11,24,25,19,23,25,,,,
JTS000000150000000QUR,15,15,JTSQUR,"Quits rate, seasonally adjusted",Hawaii,2,2.3,2,2.4,2.6,2.1,3,2.3,4.7,2.1,2.1,1.5,2.2,2.2,2.4,3.9,4.2,2.8,3.3,3.3,,,,
JTU000000150000000QUR,15,15,JTUQUR,"Quits rate, not seasonally adjusted",Hawaii,2.3,1.8,1.7,2.6,2.6,2.5,3.6,3.2,4.9,1.9,1.3,1.1,2.3,1.8,2,4.3,4.4,3.3,3.9,4.4,,,,
JTS000000160000000QUL,16,16,JTSQUL,"Quits levels, seasonally adjusted",Idaho,22,23,16,14,12,17,20,19,19,21,20,21,23,22,22,24,19,23,24,32,,,,
JTU000000160000000QUL,16,16,JTUQUL,"Quits levels, not seasonally adjusted",Idaho,18,17,13,14,11,17,23,25,23,25,17,19,19,18,19,26,18,23,28,38,,,,
JTS000000160000000QUR,16,16,JTSQUR,"Quits rate, seasonally adjusted",Idaho,2.8,3,2.1,2,1.7,2.3,2.7,2.5,2.5,2.7,2.6,2.7,2.9,2.8,2.8,3.1,2.4,2.9,3,4.1,,,,
JTU000000160000000QUR,16,16,JTUQUR,"Quits rate, not seasonally adjusted",Idaho,2.4,2.2,1.7,2,1.6,2.2,3,3.3,3,3.3,2.2,2.5,2.5,2.3,2.4,3.3,2.3,2.9,3.5,4.8,,,,
JTS000000170000000QUL,17,17,JTSQUL,"Quits levels, seasonally adjusted",Illinois,136,141,113,115,111,111,129,109,128,121,125,151,122,116,147,161,162,163,169,201,,,,
JTU000000170000000QUL,17,17,JTUQUL,"Quits levels, not seasonally adjusted",Illinois,137,123,101,94,103,113,149,152,130,136,110,140,123,104,136,147,158,165,182,244,,,,
JTS000000170000000QUR,17,17,JTSQUR,"Quits rate, seasonally adjusted",Illinois,2.2,2.3,1.9,2.2,2.1,2,2.3,1.9,2.3,2.1,2.2,2.7,2.2,2,2.6,2.8,2.8,2.8,2.9,3.5,,,,
JTU000000170000000QUR,17,17,JTUQUR,"Quits rate, not seasonally adjusted",Illinois,2.3,2,1.7,1.8,1.9,2,2.7,2.7,2.3,2.4,1.9,2.5,2.2,1.9,2.4,2.6,2.7,2.8,3.1,4.2,,,,
JTS000000180000000QUL,18,18,JTSQUL,"Quits levels, seasonally adjusted",Indiana,88,84,75,53,44,49,84,68,80,73,77,85,74,80,80,102,85,94,98,109,,,,
