state_fips,state_abb,year,month,epop_all,urate_all,epop_prime,emp_overall_sa,emp_private_sa,emp_overall_nsa,emp_private_nsa,cases_level,deaths_level,cases_rate,deaths_rate,vax_rate,vax_1864_rate,quit_level_sa,quit_level_nsa,quit_rate_sa,quit_rate_nsa
48,TX,2020,4,0.531819839061863,0.12258999087104636,0.7084673492987441,11517.4,9568.1,11514.1,9544,16478.3,409.1333333333333,5.684761136398872e-4,1.4114473416181635e-5,NA,NA,178,196,1.5,1.7
48,TX,2020,5,0.5432616761415651,0.11895311052399356,0.7145733712062997,11756.7,9840.7,11780.1,9838.1,47207.51612903226,1291.8387096774193,0.0016285870085885406,4.456645704514336e-5,NA,NA,270,281,2.3,2.4
48,TX,2020,6,0.5672248297227921,0.09959089426855472,0.7348021192280533,11970.1,10052.7,12009.5,10094.4,103025.3,2068.4666666666667,0.003554215067730498,7.135893216292449e-5,NA,NA,216,243,1.8,2
48,TX,2020,7,0.5681620657530188,0.09270005552906735,0.7354504877703438,11993.5,10044.6,11947.4,10074.2,306341.4516129032,4086.2258064516127,0.010568310921618418,1.4096853230652598e-4,NA,NA,262,309,2.2,2.6
48,TX,2020,8,0.5847584627646908,0.0690763221858582,0.7554694742867023,12079.3,10096.4,12042.7,10139.9,555488.8709677419,10347.161290322581,0.019163515322451388,3.569612179367812e-4,NA,NA,295,370,2.4,3.1
48,TX,2020,9,0.5745744396601196,0.07914072251609469,0.7530868614770473,12145.8,10168.3,12112.2,10155.7,709708.3333333334,14675.433333333332,0.024483850588420827,5.062799747130826e-4,NA,NA,352,355,2.9,2.9
48,TX,2020,10,0.5893789602350247,0.06521508537279212,0.7660237669507635,12248.6,10286.3,12304.2,10323.6,863388.6451612903,17390.16129032258,0.029785585986545817,5.999339316491014e-4,NA,NA,340,339,2.8,2.8
48,TX,2020,11,0.5814968275267905,0.0752260431735014,0.7549397000815061,12299.5,10339.4,12395.1,10404.1,1103491.2,20239.666666666668,0.03806875641369653,6.98237503142523e-4,NA,NA,324,271,2.6,2.2
48,TX,2020,12,0.587887757890866,0.06527545936877285,0.7593328385256322,12365.2,10404.1,12453.1,10462,1522971,25132.645161290322,0.05254016708436263,8.670377676568966e-4,0,0,396,342,3.2,2.7
48,TX,2021,1,0.5739917742708247,0.07830502082679641,0.7481718989056643,12404.2,10444.8,12297.3,10342.7,2091989.1612903227,32523.09677419355,0.07217042220296327,0.0011219970298955292,0,0,326,332,2.6,2.7
